,E,flux
666,8.926193e-01,1.992475e+19
667,8.938094e-01,1.992921e+19
668,8.949995e-01,1.993449e+19
669,8.961896e-01,1.994160e+19
670,8.973797e-01,1.994828e+19
671,8.985699e-01,1.995623e+19
672,8.997600e-01,1.996694e+19
673,9.009501e-01,1.997675e+19
674,9.021402e-01,1.998769e+19
675,9.033303e-01,2.000080e+19
676,9.045205e-01,2.001498e+19
677,9.057106e-01,2.003040e+19
678,9.069007e-01,2.004404e+19
679,9.080908e-01,2.005460e+19
680,9.092809e-01,2.006273e+19
681,9.104711e-01,2.006720e+19
682,9.116612e-01,2.007493e+19
683,9.128513e-01,2.008724e+19
684,9.140414e-01,2.009761e+19
685,9.152315e-01,2.011563e+19
686,9.164216e-01,2.014264e+19
687,9.176118e-01,2.018434e+19
688,9.188019e-01,2.024984e+19
689,9.199920e-01,2.038188e+19
690,9.211821e-01,2.039027e+19
691,9.223722e-01,2.025585e+19
692,9.235624e-01,2.018640e+19
693,9.247525e-01,2.013977e+19
694,9.259426e-01,2.010839e+19
695,9.271327e-01,2.008395e+19
696,9.283228e-01,2.006419e+19
697,9.295130e-01,2.004978e+19
698,9.307031e-01,2.003632e+19
699,9.318932e-01,2.002682e+19
700,9.330833e-01,2.001923e+19
701,9.342734e-01,2.001393e+19
702,9.354635e-01,2.001273e+19
703,9.366537e-01,2.000708e+19
704,9.378438e-01,2.000132e+19
705,9.390339e-01,1.999773e+19
706,9.402240e-01,1.999394e+19
707,9.414141e-01,1.999160e+19
708,9.426043e-01,1.999261e+19
709,9.437944e-01,1.999441e+19
710,9.449845e-01,1.999706e+19
711,9.461746e-01,1.999902e+19
712,9.473647e-01,2.000426e+19
713,9.485549e-01,2.000894e+19
714,9.497450e-01,2.001204e+19
715,9.509351e-01,2.001583e+19
716,9.521252e-01,2.001846e+19
717,9.533153e-01,2.002390e+19
718,9.545055e-01,2.003131e+19
719,9.556956e-01,2.003437e+19
720,9.568857e-01,2.004075e+19
721,9.580758e-01,2.003426e+19
722,9.592659e-01,2.002534e+19
723,9.604560e-01,2.002055e+19
724,9.616462e-01,2.001953e+19
725,9.628363e-01,2.002148e+19
726,9.640264e-01,2.001936e+19
727,9.652165e-01,2.001630e+19
728,9.664066e-01,2.001470e+19
729,9.675968e-01,2.001251e+19
730,9.687869e-01,2.001200e+19
731,9.699770e-01,2.001178e+19
732,9.711671e-01,2.001284e+19
733,9.723572e-01,2.001410e+19
734,9.735474e-01,2.001597e+19
735,9.747375e-01,2.001895e+19
736,9.759276e-01,2.002575e+19
737,9.771177e-01,2.003200e+19
738,9.783078e-01,2.003836e+19
739,9.794980e-01,2.004943e+19
740,9.806881e-01,2.005666e+19
741,9.818782e-01,2.006218e+19
742,9.830683e-01,2.006729e+19
743,9.842584e-01,2.007369e+19
744,9.854485e-01,2.008306e+19
745,9.866387e-01,2.009593e+19
746,9.878288e-01,2.011591e+19
747,9.890189e-01,2.014767e+19
