,kev,events_per_day
424,6.36637,0.0002
425,6.38138,0.0002
426,6.3964,0.0002
427,6.41141,0.0002
428,6.42643,0.0002
429,6.44144,0.0002
430,6.45646,0.0002
431,6.47147,0.0002
432,6.48649,0.0002
433,6.5015,0.0002
434,6.51652,0.0002
435,6.53153,0.0002
436,6.54655,0.0002
437,6.56156,0.0002
438,6.57658,0.0002
439,6.59159,0.0002
440,6.60661,0.0002
441,6.62162,0.0002
442,6.63664,0.0002
443,6.65165,0.0002
444,6.66667,0.0002
445,6.68168,0.0002
446,6.6967,0.0002
447,6.71171,0.0002
448,6.72673,0.0002
449,6.74174,0.0002
450,6.75676,0.0002
451,6.77177,0.0002
452,6.78679,0.0002
453,6.8018,0.0002
454,6.81682,0.0002
455,6.83183,0.0002
456,6.84685,0.0002
457,6.86186,0.0002
458,6.87688,0.0002
459,6.89189,0.0002
460,6.90691,0.0002
461,6.92192,0.0002
462,6.93694,0.0002
463,6.95195,0.0002
464,6.96697,0.0002
465,6.98198,0.0002
466,6.997,0.0002
467,7.01201,0.0002
468,7.02703,0.0002
469,7.04204,0.0002
470,7.05706,0.0002
471,7.07207,0.0002
472,7.08709,0.0002
473,7.1021,0.0002
474,7.11712,0.0002
475,7.13213,0.0002
476,7.14715,0.0002
477,7.16216,0.0002
478,7.17718,0.0002
479,7.19219,0.0002
480,7.20721,0.0002
481,7.22222,0.0002
482,7.23724,0.0002
483,7.25225,0.0002
484,7.26727,0.0002
485,7.28228,0.0002
486,7.2973,0.0002
487,7.31231,0.0002
488,7.32733,0.0002
489,7.34234,0.0002
490,7.35736,0.0002
491,7.37237,0.0002
492,7.38739,0.0002
493,7.4024,0.0002
494,7.41742,0.0002
495,7.43243,0.0002
496,7.44745,0.0002
497,7.46246,0.0002
498,7.47748,0.0002
499,7.49249,0.0002
500,7.50751,0.0002
501,7.52252,0.0002
502,7.53754,0.0002
503,7.55255,0.0002
504,7.56757,0.0002
505,7.58258,0.0002
506,7.5976,0.0002
507,7.61261,0.0002
508,7.62763,0.0002
509,7.64264,0.0002
510,7.65766,0.0002
511,7.67267,0.0002
512,7.68769,0.0002
513,7.7027,0.0002
514,7.71772,0.0002
515,7.73273,0.0002
516,7.74775,0.0002
517,7.76276,0.0002
518,7.77778,0.0002
519,7.79279,0.0002
520,7.80781,0.0002
521,7.82282,0.0002
522,7.83784,0.0002
523,7.85285,0.0002
524,7.86787,0.0002
525,7.88288,0.0002
526,7.8979,0.0002
527,7.91291,0.0002
528,7.92793,0.0002
529,7.94294,0.0002
530,7.95796,0.0002
531,7.97297,0.0002
532,7.98799,0.0002
533,8.003,0.0002
534,8.01802,0.0002
535,8.03303,0.0002
536,8.04805,0.0002
537,8.06306,0.0002
538,8.07808,0.0002
539,8.09309,0.0002
540,8.10811,0.0002
541,8.12312,0.0002
542,8.13814,0.0002
543,8.15315,0.0002
544,8.16817,0.0002
545,8.18318,0.0002
546,8.1982,0.0002
547,8.21321,0.0002
548,8.22823,0.0002
549,8.24324,0.0002
550,8.25826,0.0002
551,8.27327,0.0002
552,8.28829,0.0002
553,8.3033,0.0002
554,8.31832,0.0002
555,8.33333,0.0002
556,8.34835,0.0002
557,8.36336,0.0002
558,8.37838,0.0002
559,8.39339,0.0002
560,8.40841,0.0002
561,8.42342,0.0002
562,8.43844,0.0002
563,8.45345,0.0002
564,8.46847,0.0002
565,8.48348,0.0002
566,8.4985,0.0002
567,8.51351,0.0002
568,8.52853,0.0002
569,8.54354,0.0002
570,8.55856,0.0002
571,8.57357,0.0002
572,8.58859,0.0002
573,8.6036,0.0002
574,8.61862,0.0002
575,8.63363,0.0002
576,8.64865,0.0002
577,8.66366,0.0002
578,8.67868,0.0002
579,8.69369,0.0002
580,8.70871,0.0002
581,8.72372,0.0002
582,8.73874,0.0002
583,8.75375,0.0002
584,8.76877,0.0002
585,8.78378,0.0002
586,8.7988,0.0002
587,8.81381,0.0002
588,8.82883,0.0002
589,8.84384,0.0002
590,8.85886,0.0002
591,8.87387,0.0002
592,8.88889,0.0002
593,8.9039,0.0002
594,8.91892,0.0002
595,8.93393,0.0002
596,8.94895,0.0002
597,8.96396,0.0002
598,8.97898,0.0002
599,8.99399,0.0002
600,9.00901,0.0002
601,9.02402,0.0002
602,9.03904,0.0002
603,9.05405,0.0002
604,9.06907,0.0002
605,9.08408,0.0002
606,9.0991,0.0002
607,9.11411,0.0002
608,9.12913,0.0002
609,9.14414,0.0002
610,9.15916,0.0002
611,9.17417,0.0002
612,9.18919,0.0002
613,9.2042,0.0002
614,9.21922,0.0002
615,9.23423,0.0002
616,9.24925,0.0002
617,9.26426,0.0002
618,9.27928,0.0002
619,9.29429,0.0002
620,9.30931,0.0002
621,9.32432,0.0002
622,9.33934,0.0002
623,9.35435,0.0002
624,9.36937,0.0002
625,9.38438,0.0002
626,9.3994,0.0002
627,9.41441,0.0002
628,9.42943,0.0002
629,9.44444,0.0002
630,9.45946,0.0002
631,9.47447,0.0002
632,9.48949,0.0002
633,9.5045,0.0002
634,9.51952,0.0002
635,9.53453,0.0002
636,9.54955,0.0002
